Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;;;
0,016683333;185,9481044;0;371,8962087;0;2,547566501;;;;
0,033366667;182,9571934;2,990910955;368,9052978;2,990910955;;;;;
0,05005;179,7345291;3,222664351;365,6826334;6,213575306;;;;;
0,066733333;177,3232946;2,411234437;363,271399;8,624809743;;;;;
0,083416667;174,5381223;2,785172282;360,4862267;11,40998203;;;;;
0,1001;171,6873487;2,850773659;357,635453;14,26075568;;;;;-1
0,116783333;169,0891866;2,598162037;355,037291;16,85891772;;;;;
0,133466667;166,0917306;2,99745609;352,0398349;19,85637381;;;;;
0,15015;163,0176151;3,074115432;348,9657195;22,93048924;;;;;
0,166833333;160,5391307;2,478484413;346,4872351;25,40897366;;;;;
0,183516667;157,6650142;2,874116512;343,6131186;28,28309017;;;;;
0,2002;155,1731895;2,49182468;341,1212939;30,77491485;;;;;
0,216883333;152,147989;3,025200486;338,0960934;33,80011534;;;;;
0,233566667;149,2954547;2,852534291;335,2435591;36,65264963;;;;;
0,25025;146,7897583;2,5056964;332,7378627;39,15834603;;;;;
0,266933333;144,5602622;2,229496154;330,5083665;41,38784218;;;;;
0,283616667;141,4308688;3,12939343;327,3789731;44,51723561;;;;;
0,3003;138,6785947;2,752274062;324,6266991;47,26950967;;;;;
0,316983333;135,8059126;2,87268212;321,7540169;50,14219179;;;;;
0,333666667;133,197572;2,608340577;319,1456764;52,75053237;;;;;
0,35035;131,5500928;1,647479178;317,4981972;54,39801155;;;;;
0,367033333;129,479724;2,070368846;315,4278283;56,46838039;;;;;
0,383716667;127,1753199;2,304404118;313,1234242;58,77278451;;;;;
0,4004;124,4493284;2,725991474;310,3974327;61,49877599;;;;;
0,417083333;122,01268;2,436648373;307,9607844;63,93542436;;;;;
0,433766667;118,8872378;3,125442234;304,8353421;67,06086659;;;;;
0,45045;116,5219212;2,365316608;302,4700255;69,4261832;;;;;
0,467133333;114,3087806;2,213140571;300,256885;71,63932377;;;;;
0,483816667;111,9583452;2,350435439;297,9064495;73,98975921;;;;;
0,5005;109,5136292;2,444715907;295,4617336;76,43447512;;;;;
0,517183333;106,9373224;2,576306799;292,8854268;79,01078192;;;;;
0,533866667;104,5791949;2,358127565;290,5272992;81,36890948;;;;;
0,55055;102,2115067;2,367688227;288,159611;83,73659771;;;;;
0,567233333;99,55762647;2,653880181;285,5057308;86,39047789;;;;;
0,583916667;96,77234391;2,785282567;282,7204483;89,17576046;;;;;
0,6006;94,37086684;2,401477071;280,3189712;91,57723753;;;;;
0,617283333;91,8830772;2,48778964;277,8311816;94,06502717;;;;;
0,633966667;89,47772952;2,405347675;275,4258339;96,47037484;;;;;
0,65065;87,00102887;2,476700654;272,9491332;98,9470755;;;;;
0,667333333;84,95675677;2,0442721;270,9048611;100,9913476;;;;;
0,684016667;82,25374009;2,703016677;268,2018445;103,6943643;;;;;
0,7007;79,43346849;2,820271598;265,3815729;106,5146359;;;;;
0,717383333;77,52760288;1,905865616;263,4757072;108,4205015;;;;;
0,734066667;75,90914999;1,618452884;261,8572544;110,0389544;;;;;
0,75075;74,04444976;1,864700235;259,9925541;111,9036546;;;;;
0,767433333;72,16788268;1,876567074;258,115987;113,7802217;;;;;
0,784116667;69,9332769;2,234605784;255,8813813;116,0148275;;;;;
0,8008;67,88755853;2,045718367;253,8356629;118,0605458;;;;;
0,817483333;65,97390819;1,91365034;251,9220126;119,9741962;;;;;
0,834166667;63,78168568;2,192222513;249,72979;122,1664187;;;;;
0,85085;61,74261687;2,039068807;247,6907212;124,2054875;;;;;
0,867533333;59,68385459;2,05876228;245,631959;126,2642498;;;;;
0,884216667;57,49798671;2,185867878;243,4460911;128,4501176;;;;;
0,9009;55,66070734;1,837279369;241,6088117;130,287397;;;;;
0,917583333;53,87783755;1,78286979;239,8259419;132,0702668;;;;;
0,934266667;52,02582269;1,852014864;237,9739271;133,9222817;;;;;
0,95095;50,02115863;2,004664062;235,969263;135,9269457;;;;;
0,967633333;47,59208791;2,429070713;233,5401923;138,3560164;;;;;
0,984316667;45,32994943;2,262138482;231,2780538;140,6181549;;;;;
1,001;43,13633091;2,193618525;229,0844353;142,8117735;;;;;
1,017683333;40,47042472;2,665906187;226,4185291;145,4776796;;;;;
1,034366667;38,44947355;2,020951168;224,3975779;147,4986308;;;;;
1,05105;36,05759157;2,391881983;222,0056959;149,8905128;;;;;
1,067733333;34,02497836;2,032613206;219,9730827;151,923126;;;;;
1,084416667;31,55835637;2,466621995;217,5064607;154,389748;;;;;
1,1011;29,5779606;1,980395762;215,526065;156,3701438;;;;;
1,117783333;26,84921142;2,728749184;212,7973158;159,0988929;;;;;
1,134466667;24,95315362;1,8960578;210,901258;160,9949507;;;;;
1,15115;22,81041198;2,142741636;208,7585163;163,1376924;;;;;
1,167833333;20,19362373;2,616788253;206,1417281;165,7544806;;;;;
1,184516667;18,30987671;1,883747026;204,2579811;167,6382277;;;;;
1,2012;15,61453478;2,695341926;201,5626391;170,3335696;;;;;
1,217883333;13,2731271;2,341407681;199,2212315;172,6749773;;;;;
1,234566667;11,085216;2,1879111;197,0333204;174,8628884;;;;;
1,25125;8,084965211;3,000250786;194,0330696;177,8631392;;;;;
1,267933333;6,1262605;1,958704711;192,0743649;179,8218439;;;;;
1,284616667;3,709987288;2,416273212;189,6580917;182,2381171;;;;;
1,3013;1,008718085;2,701269204;186,9568224;184,9393863;;;;;
1,317983333;-1,357251587;2,365969671;184,5908528;187,3053559;;;;;
1,334666667;-3,427293182;2,070041595;182,5208112;189,3753975;;;;;
1,35135;-5,441540612;2,01424743;180,5065638;191,389645;;;;;
1,368033333;-7,640810776;2,199270163;178,3072936;193,5889151;;;;;
1,384716667;-9,845562601;2,204751825;176,1025418;195,793667;;;;;
1,4014;-12,54392003;2,698357434;173,4041843;198,4920244;;;;;
1,418083333;-15,24198225;2,698062215;170,7061221;201,1900866;;;;;
1,434766667;-17,66942335;2,427441099;168,278681;203,6175277;;;;;
1,45145;-20,29204669;2,622623338;165,6560577;206,240151;;;;;
1,468133333;-22,96736813;2,675321442;162,9807362;208,9154725;;;;;
1,484816667;-25,1789543;2,21158617;160,7691501;211,1270587;;;;;
1,5015;-28,36527547;3,186321167;157,5828289;214,3133798;;;;;
1,518183333;-31,47193032;3,106654855;154,476174;217,4200347;;;;;
1,534866667;-34,10131935;2,629389034;151,846785;220,0494237;;;;;
1,55155;-37,08148579;2,98016644;148,8666186;223,0295902;;;;;
1,568233333;-39,73756224;2,656076443;146,2105421;225,6856666;;;;;
1,584916667;-42,2779963;2,540434063;143,6701081;228,2261007;;;;;
1,6016;-45,4473169;3,169320595;140,5007875;231,3954213;;;;;
1,618283333;-48,31269808;2,865381186;137,6354063;234,2608024;;;;;
1,634966667;-50,84676234;2,534064259;135,101342;236,7948667;;;;;
1,65165;-53,83054851;2,983786165;132,1175559;239,7786529;;;;;
1,668333333;-56,68968397;2,859135468;129,2584204;242,6377883;;;;;
1,685016667;-59,16223463;2,472550653;126,7858697;245,110339;;;;;
1,7017;-62,56754669;3,405312064;123,3805577;248,5156511;;;;;
1,718383333;-65,37753581;2,809989121;120,5705686;251,3256402;;;;;
1,735066667;-68,32241642;2,94488061;117,6256879;254,2705208;;;;;
1,75175;-71,50986185;3,18744543;114,4382425;257,4579662;;;;;
1,768433333;-74,24614014;2,736278293;111,7019642;260,1942445;;;;;
1,785116667;-77,07167065;2,825530506;108,8764337;263,019775;;;;;
1,8018;-80,59406218;3,522391534;105,3540422;266,5421665;;;;;
1,818483333;-84,45883976;3,864777576;101,4892646;270,4069441;;;;;
1,835166667;-87,18082904;2,721989277;98,76727533;273,1289334;;;;;
1,85185;-91,08130069;3,900471657;94,86680367;277,0294051;;;;;
1,868533333;-94,0328171;2,951516404;91,91528726;279,9809215;;;;;
1,885216667;-97,05842663;3,025609532;88,88967773;283,006531;;;;;
1,9019;-100,0352639;2,97683724;85,91284049;285,9833682;;;;;
1,918583333;-103,0743228;3,039058954;82,87378154;289,0224272;;;;;
1,935266667;-105,47462;2,400297161;80,47348438;291,4227243;;;;;
1,95195;-108,6684975;3,193877506;77,27960687;294,6166019;;;;;
1,968633333;-111,2638866;2,595389132;74,68421774;297,211991;;;;;
1,985316667;-113,431018;2,167131381;72,51708636;299,3791224;;;;;
2,002;-115,6298741;2,198856071;70,31823029;301,5779784;;;;;
2,018683333;-117,2743368;1,644462683;68,67376761;303,2224411;;;;;
2,035366667;-119,7598757;2,48553896;66,18822865;305,7079801;;;;;
